OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,TotalAmount,PaymentMethod,OrderStatus,City,Country,SellerID
ORD0070552,2023-06-21,CUST027329,Mohit Sharma,P00029,T-Shirt,Electronics,HomeEase,5,326.34,0.05,1688.39,Net Banking,Delivered,Columbus,United States,SELL00795
ORD0054375,2022-01-07,CUST037822,Anjali Gupta,P00014,Drone Mini,Clothing,KiddoFun,2,13.35,0.0,35.96,Credit Card,Delivered,Indianapolis,United States,SELL01768
ORD0039692,2020-03-15,CUST021298,Anjali Mehta,P00001,Wireless Earbuds,Electronics,ReadMore,4,116.84,0.1,509.31,Amazon Pay,Delivered,Phoenix,United States,SELL01331
ORD0093703,2023-12-31,CUST000021,Aman Kapoor,P00008,4K Monitor,Toys & Games,Zenith,5,381.41,0.0,2253.82,Credit Card,Delivered,Columbus,India,SELL01299
ORD0073692,2020-03-01,CUST022652,Karan Reddy,P00004,USB-C Charger,Toys & Games,NexPro,5,300.18,0.05,1604.16,UPI,Delivered,San Antonio,United States,SELL00978
ORD0098071,2020-09-19,CUST043968,Anjali Kapoor,P00016,Air Fryer,Electronics,ReadMore,5,491.88,0.2,2139.03,Cash on Delivery,Delivered,Indianapolis,United States,SELL01138
ORD0000576,2023-07-19,CUST043585,Anjali Mehta,P00016,Air Fryer,Sports & Outdoors,FitLife,5,584.19,0.1,2765.95,Credit Card,Delivered,Dallas,United States,SELL01018
ORD0084611,2020-07-31,CUST041153,Vivaan Kumar,P00050,Novel Bestseller,Home & Kitchen,BrightLux,1,587.3,0.05,610.11,Credit Card,Cancelled,San Diego,India,SELL00669
ORD0061770,2024-05-26,CUST010990,Pooja Verma,P00017,Electric Kettle,Toys & Games,Apex,3,206.47,0.1,624.59,Credit Card,Delivered,Chicago,United States,SELL00163
ORD0032261,2023-02-07,CUST048495,Kabir Mehta,P00012,Noise Cancelling Headphones,Sports & Outdoors,KiddoFun,5,220.21,0.0,1192.98,Amazon Pay,Delivered,Fort Worth,United States,SELL00262
ORD0082200,2023-12-23,CUST026521,Vikas Singh,P00016,Air Fryer,Toys & Games,BrightLux,1,152.28,0.0,170.5,Credit Card,Cancelled,San Diego,United States,SELL00572
ORD0036291,2022-01-18,CUST030570,Kabir Kumar,P00023,Cookware Set,Home & Kitchen,Apex,5,357.16,0.0,1788.13,Credit Card,Delivered,Jacksonville,United States,SELL01604
ORD0078450,2023-10-31,CUST011601,Mohit Patel,P00028,Jeans,Home & Kitchen,HomeEase,2,228.61,0.05,458.45,UPI,Delivered,San Jose,United States,SELL01753
ORD0060056,2023-10-12,CUST012521,Sneha Kumar,P00048,Wireless Charger,Electronics,UrbanStyle,3,466.59,0.05,1409.51,Credit Card,Delivered,Houston,India,SELL01866
ORD0045949,2022-04-28,CUST000056,Pooja Patel,P00016,Air Fryer,Electronics,FitLife,5,576.61,0.2,2722.36,Net Banking,Shipped,Washington,United States,SELL00893
ORD0028178,2024-04-21,CUST044478,Neha Patel,P00021,Backpack,Sports & Outdoors,ReadMore,5,464.0,0.25,1887.4,Debit Card,Delivered,San Antonio,United States,SELL00398
ORD0084464,2023-08-30,CUST022419,Rohit Reddy,P00011,Fitness Band,Books,NexPro,3,296.9,0.05,890.32,Amazon Pay,Delivered,Austin,United States,SELL01150
ORD0000579,2024-01-10,CUST013323,Vikas Reddy,P00022,Water Bottle,Toys & Games,ReadMore,1,517.9,0.05,561.54,Credit Card,Delivered,San Diego,United States,SELL01593
ORD0030960,2023-02-27,CUST027790,Aman Singh,P00037,Router,Toys & Games,BrightLux,4,349.5,0.05,1333.75,UPI,Delivered,Fort Worth,India,SELL01131
ORD0064291,2020-08-31,CUST001373,Vivaan Patel,P00041,Webcam Full HD,Home & Kitchen,FitLife,3,87.81,0.15,253.3,Credit Card,Delivered,Phoenix,United States,SELL00327
ORD0014532,2024-06-26,CUST040088,Karan Gupta,P00004,USB-C Charger,Books,CoreTech,2,99.35,0.05,203.9,Credit Card,Delivered,San Antonio,United States,SELL01765
ORD0017934,2023-11-13,CUST026553,Aarav Reddy,P00004,USB-C Charger,Books,UrbanStyle,5,72.4,0.25,313.57,Cash on Delivery,Shipped,Washington,United Kingdom,SELL00814
ORD0033609,2023-12-24,CUST023786,Neha Gupta,P00003,Smartphone Case,Clothing,KiddoFun,4,589.29,0.15,2111.63,Credit Card,Delivered,Chicago,United States,SELL00207
ORD0049960,2021-04-30,CUST008777,Anjali Kumar,P00040,Microphone,Sports & Outdoors,Apex,3,36.79,0.0,111.39,Credit Card,Delivered,New York,United States,SELL01028
ORD0066599,2020-07-14,CUST010075,Aman Gupta,P00043,HDMI Cable 2m,Sports & Outdoors,ReadMore,1,154.19,0.15,148.16,Credit Card,Delivered,Washington,India,SELL01241
ORD0099090,2021-11-18,CUST013248,Vivaan Singh,P00049,Children's Book,Sports & Outdoors,Apex,3,544.51,0.05,1748.58,Credit Card,Shipped,Chicago,United States,SELL01779
ORD0034452,2022-04-07,CUST004344,Vivaan Gupta,P00005,Laptop Sleeve,Sports & Outdoors,Zenith,2,269.71,0.15,528.02,Net Banking,Delivered,Columbus,United States,SELL01933
ORD0034081,2020-07-21,CUST033149,Vivaan Gupta,P00032,Board Game,Electronics,ReadMore,3,190.92,0.0,647.49,Amazon Pay,Shipped,San Francisco,United States,SELL00371
ORD0063588,2023-10-28,CUST018648,Aditya Kumar,P00039,Graphic Tablet,Toys & Games,NexPro,3,244.69,0.0,793.55,Credit Card,Delivered,Austin,United States,SELL01671
ORD0004294,2023-12-24,CUST028511,Aarav Kumar,P00050,Novel Bestseller,Clothing,Apex,5,12.8,0.0,79.61,Debit Card,Delivered,Seattle,United States,SELL01623
ORD0069103,2022-01-03,CUST027499,Priya Gupta,P00014,Drone Mini,Home & Kitchen,ReadMore,1,194.54,0.05,207.43,Credit Card,Delivered,Washington,India,SELL01934
ORD0086412,2023-07-06,CUST030977,Aditya Joshi,P00026,Sunglasses,Home & Kitchen,UrbanStyle,5,126.99,0.0,723.55,Amazon Pay,Shipped,San Francisco,United States,SELL00235
ORD0099477,2023-08-08,CUST022129,Vihaan Patel,P00050,Novel Bestseller,Books,Apex,1,515.24,0.05,534.16,UPI,Delivered,Charlotte,United States,SELL00718
ORD0053930,2021-04-13,CUST025394,Priya Joshi,P00003,Smartphone Case,Electronics,ReadMore,5,108.73,0.2,478.8,Debit Card,Delivered,Los Angeles,United States,SELL00713
ORD0087071,2021-06-13,CUST014245,Sahil Kumar,P00012,Noise Cancelling Headphones,Home & Kitchen,Zenith,2,304.96,0.1,623.73,UPI,Delivered,San Francisco,United States,SELL01450
ORD0065084,2023-03-18,CUST020417,Aarav Sharma,P00029,T-Shirt,Clothing,ReadMore,4,424.65,0.05,1756.38,Credit Card,Shipped,New York,United States,SELL00306
ORD0030713,2022-02-14,CUST005934,Rohit Mehta,P00043,HDMI Cable 2m,Electronics,Apex,3,170.11,0.25,414.89,Credit Card,Pending,San Francisco,India,SELL00547
ORD0049183,2022-03-17,CUST038754,Aditya Reddy,P00043,HDMI Cable 2m,Sports & Outdoors,ReadMore,4,297.37,0.0,1198.39,Net Banking,Delivered,Columbus,United States,SELL01807
ORD0057235,2022-01-18,CUST037621,Aditya Patel,P00015,Instant Pot,Home & Kitchen,UrbanStyle,3,497.42,0.05,1543.04,Amazon Pay,Delivered,Austin,United States,SELL01112
ORD0015664,2021-09-09,CUST031099,Vivaan Sharma,P00037,Router,Home & Kitchen,KiddoFun,5,346.2,0.1,1635.94,Credit Card,Returned,Charlotte,India,SELL01973
ORD0019967,2021-08-25,CUST043037,Anjali Kumar,P00020,Office Chair,Clothing,BrightLux,1,5.19,0.0,7.51,Amazon Pay,Delivered,Phoenix,United States,SELL00189
ORD0091913,2023-05-01,CUST011479,Vivaan Patel,P00036,Smart Light Bulb,Toys & Games,FitLife,1,361.86,0.05,392.99,Net Banking,Delivered,San Diego,United States,SELL01599
ORD0091958,2021-09-29,CUST012209,Sahil Mehta,P00017,Electric Kettle,Toys & Games,FitLife,1,238.67,0.1,236.41,Credit Card,Delivered,Fort Worth,India,SELL01785
ORD0081347,2022-12-31,CUST000159,Aman Gupta,P00034,Desk Organizer,Sports & Outdoors,ReadMore,4,534.74,0.1,1935.94,Credit Card,Delivered,Houston,United States,SELL00385
ORD0055326,2020-12-02,CUST049231,Arjun Singh,P00038,External HDD 2TB,Books,HomeEase,1,22.29,0.25,22.59,Credit Card,Pending,San Diego,India,SELL00620
ORD0029858,2022-09-20,CUST047988,Vihaan Joshi,P00049,Children's Book,Books,BrightLux,4,324.66,0.05,1299.21,Cash on Delivery,Shipped,Dallas,United States,SELL01144
ORD0071223,2020-05-21,CUST029265,Vivaan Kumar,P00007,Mechanical Keyboard,Electronics,NexPro,5,416.61,0.15,1866.46,Amazon Pay,Delivered,Jacksonville,United States,SELL00503
ORD0052459,2024-01-31,CUST017296,Vivaan Verma,P00019,LED Desk Lamp,Toys & Games,FitLife,3,197.31,0.15,573.41,Credit Card,Shipped,Phoenix,United States,SELL00815
ORD0088346,2022-11-03,CUST030849,Karan Joshi,P00028,Jeans,Clothing,Zenith,3,410.34,0.0,1296.49,Debit Card,Shipped,Washington,India,SELL00268
ORD0082364,2022-05-17,CUST006554,Rohit Verma,P00017,Electric Kettle,Clothing,KiddoFun,5,531.7,0.05,2729.7,Amazon Pay,Delivered,Phoenix,Canada,SELL00221
ORD0065350,2020-12-15,CUST000188,Vikas Mehta,P00010,Smartwatch,Toys & Games,Apex,1,51.6,0.05,56.32,Credit Card,Delivered,Seattle,India,SELL01533
ORD0059650,2023-02-16,CUST000071,Mohit Gupta,P00003,Smartphone Case,Clothing,CoreTech,5,293.27,0.05,1510.9,Amazon Pay,Delivered,Jacksonville,United States,SELL01946
ORD0044953,2022-03-26,CUST008801,Aman Singh,P00041,Webcam Full HD,Clothing,ReadMore,5,53.36,0.0,280.95,UPI,Delivered,Chicago,India,SELL01242
ORD0039526,2020-12-09,CUST024616,Vivaan Mehta,P00040,Microphone,Sports & Outdoors,ReadMore,4,556.33,0.0,2411.54,Amazon Pay,Delivered,Denver,United States,SELL00272
ORD0013936,2020-01-25,CUST006284,Karan Verma,P00022,Water Bottle,Home & Kitchen,UrbanStyle,4,285.01,0.0,1238.03,Net Banking,Delivered,Washington,United States,SELL01101
ORD0093781,2020-04-18,CUST013706,Sahil Sharma,P00032,Board Game,Toys & Games,HomeEase,1,353.15,0.0,385.05,Credit Card,Delivered,Los Angeles,India,SELL01696
ORD0089885,2024-06-14,CUST038789,Priya Kumar,P00014,Drone Mini,Toys & Games,KiddoFun,4,152.65,0.1,589.82,Credit Card,Delivered,Houston,United States,SELL00680
ORD0081144,2021-07-20,CUST008005,Simran Reddy,P00044,Power Bank 20000mAh,Toys & Games,FitLife,1,243.13,0.25,203.43,Net Banking,Delivered,Dallas,United States,SELL01449
ORD0095800,2020-08-23,CUST023010,Mohit Kapoor,P00037,Router,Sports & Outdoors,Apex,1,113.67,0.0,132.4,Credit Card,Delivered,San Antonio,Australia,SELL01154
ORD0089405,2023-04-09,CUST029781,Simran Gupta,P00038,External HDD 2TB,Sports & Outdoors,KiddoFun,4,66.79,0.0,290.52,Credit Card,Delivered,Washington,United States,SELL00338
ORD0055224,2020-12-08,CUST006598,Aman Gupta,P00023,Cookware Set,Electronics,NexPro,2,160.92,0.0,335.24,Net Banking,Delivered,Philadelphia,United States,SELL01213
ORD0073646,2020-09-19,CUST023056,Pooja Sharma,P00024,Yoga Mat,Home & Kitchen,Zenith,2,199.03,0.2,358.42,Amazon Pay,Returned,Charlotte,India,SELL01426
ORD0066294,2020-08-15,CUST005133,Ritika Mehta,P00008,4K Monitor,Books,UrbanStyle,3,87.42,0.0,289.45,Net Banking,Cancelled,New York,United States,SELL01263
ORD0065540,2020-11-10,CUST026822,Vivaan Joshi,P00023,Cookware Set,Toys & Games,BrightLux,3,550.81,0.3,1297.89,UPI,Delivered,San Jose,Australia,SELL01978
ORD0028111,2021-08-27,CUST012730,Vikas Gupta,P00019,LED Desk Lamp,Home & Kitchen,ReadMore,3,499.1,0.05,1545.06,Credit Card,Delivered,Charlotte,India,SELL00613
ORD0041929,2021-05-03,CUST027373,Simran Kumar,P00008,4K Monitor,Sports & Outdoors,KiddoFun,4,411.86,0.1,1489.57,UPI,Shipped,Los Angeles,United States,SELL00020
ORD0086547,2021-03-12,CUST030433,Sunita Joshi,P00045,Phone Tripod,Toys & Games,Apex,3,445.47,0.1,1433.32,Net Banking,Delivered,Austin,India,SELL00094
ORD0082586,2023-06-27,CUST015750,Karan Verma,P00047,Memory Card 128GB,Clothing,Zenith,4,254.37,0.0,1103.51,Debit Card,Returned,Jacksonville,United States,SELL00890
ORD0038604,2022-07-28,CUST028817,Aditya Reddy,P00025,Running Shoes,Sports & Outdoors,HomeEase,1,591.57,0.1,603.16,Net Banking,Pending,Indianapolis,United States,SELL00176
ORD0091658,2024-07-08,CUST019308,Arjun Verma,P00042,Projector Mini,Electronics,BrightLux,4,335.63,0.0,1421.7,Amazon Pay,Cancelled,Los Angeles,United States,SELL01358
ORD0062787,2020-07-11,CUST008233,Arjun Verma,P00044,Power Bank 20000mAh,Books,BrightLux,3,17.52,0.1,61.46,Net Banking,Delivered,Columbus,United States,SELL00760
ORD0084341,2023-10-03,CUST016721,Aman Reddy,P00017,Electric Kettle,Toys & Games,HomeEase,2,442.7,0.05,921.46,Debit Card,Delivered,Phoenix,United States,SELL00735
ORD0039875,2022-04-11,CUST028684,Sahil Gupta,P00030,Dress Shirt,Sports & Outdoors,HomeEase,5,540.41,0.25,2136.36,Credit Card,Delivered,Dallas,India,SELL00960
ORD0078469,2021-05-18,CUST024226,Simran Sharma,P00022,Water Bottle,Books,KiddoFun,5,163.4,0.25,674.21,Cash on Delivery,Delivered,Columbus,United States,SELL00408
ORD0031632,2024-10-25,CUST011620,Sunita Verma,P00048,Wireless Charger,Books,KiddoFun,4,350.88,0.1,1416.59,Cash on Delivery,Delivered,Seattle,United States,SELL01900
ORD0014953,2024-09-22,CUST044494,Pooja Kapoor,P00036,Smart Light Bulb,Books,KiddoFun,5,54.23,0.25,250.29,Credit Card,Delivered,San Francisco,Canada,SELL01166
ORD0039332,2023-08-16,CUST017698,Aman Kumar,P00034,Desk Organizer,Clothing,CoreTech,5,85.06,0.1,429.36,Cash on Delivery,Delivered,Philadelphia,United States,SELL01742
ORD0048588,2023-06-29,CUST048425,Ritika Reddy,P00021,Backpack,Home & Kitchen,NexPro,1,559.49,0.1,537.95,Net Banking,Delivered,Dallas,United States,SELL00218
ORD0083595,2021-07-02,CUST028357,Vikas Singh,P00039,Graphic Tablet,Toys & Games,HomeEase,2,500.23,0.0,1183.74,Credit Card,Returned,Indianapolis,United States,SELL00822
ORD0041488,2022-07-18,CUST006176,Mohit Singh,P00046,Car Charger,Toys & Games,ReadMore,5,476.65,0.1,2149.72,Debit Card,Delivered,Philadelphia,United States,SELL00141
ORD0039628,2023-09-25,CUST020457,Vihaan Singh,P00038,External HDD 2TB,Books,Zenith,2,228.33,0.0,517.31,Credit Card,Delivered,San Antonio,United States,SELL01743
ORD0087895,2024-02-03,CUST039226,Pooja Singh,P00005,Laptop Sleeve,Clothing,BrightLux,3,367.84,0.3,843.45,Net Banking,Delivered,Seattle,United States,SELL01860
ORD0026304,2024-03-17,CUST032564,Anjali Singh,P00009,Portable SSD 1TB,Home & Kitchen,FitLife,4,14.78,0.05,62.18,Credit Card,Delivered,Los Angeles,India,SELL01044
ORD0067404,2023-01-08,CUST030205,Vihaan Verma,P00025,Running Shoes,Home & Kitchen,NexPro,4,280.19,0.15,958.71,Debit Card,Pending,San Diego,United States,SELL01885
ORD0098085,2022-04-18,CUST028208,Vihaan Mehta,P00024,Yoga Mat,Home & Kitchen,NexPro,5,11.39,0.05,67.28,Amazon Pay,Delivered,San Jose,United States,SELL00661
ORD0095602,2023-10-13,CUST034565,Sneha Verma,P00036,Smart Light Bulb,Books,CoreTech,1,198.98,0.1,204.56,Credit Card,Shipped,Columbus,Canada,SELL00938
ORD0005020,2024-06-14,CUST042587,Simran Mehta,P00003,Smartphone Case,Clothing,Apex,3,52.31,0.0,177.87,Cash on Delivery,Delivered,San Francisco,United States,SELL01658
ORD0005224,2024-10-18,CUST010656,Pooja Sharma,P00034,Desk Organizer,Sports & Outdoors,NexPro,3,171.97,0.15,463.48,Credit Card,Delivered,Chicago,United States,SELL00036
ORD0015781,2022-11-02,CUST022312,Priya Verma,P00025,Running Shoes,Books,NexPro,5,124.6,0.15,574.27,Amazon Pay,Delivered,San Antonio,United States,SELL00001
ORD0045557,2024-04-30,CUST003773,Vivaan Joshi,P00022,Water Bottle,Toys & Games,HomeEase,5,508.1,0.1,2480.12,Debit Card,Delivered,San Diego,United States,SELL00958
ORD0012897,2022-06-29,CUST015028,Sunita Sharma,P00003,Smartphone Case,Books,CoreTech,1,147.65,0.15,148.37,Credit Card,Shipped,Jacksonville,United States,SELL00995
ORD0034305,2023-06-21,CUST018337,Neha Verma,P00028,Jeans,Toys & Games,KiddoFun,2,17.18,0.0,43.46,Credit Card,Shipped,Austin,United States,SELL00894
ORD0093323,2022-05-12,CUST040459,Vihaan Sharma,P00039,Graphic Tablet,Sports & Outdoors,ReadMore,2,519.23,0.05,1041.2,Debit Card,Delivered,Chicago,United States,SELL00479
ORD0005325,2024-07-07,CUST025230,Vihaan Gupta,P00001,Wireless Earbuds,Toys & Games,KiddoFun,4,218.99,0.2,741.04,Debit Card,Delivered,Denver,United States,SELL01840
ORD0052926,2021-03-21,CUST044154,Arjun Kumar,P00007,Mechanical Keyboard,Electronics,Zenith,2,420.26,0.2,727.88,Amazon Pay,Delivered,San Jose,United States,SELL01044
